year,department_name,state,lat,lon,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k
1977,Philadelphia,,39.952335,-75.163789,1897706,323,771,6999,3954,12047,12,634.8190921,17.02055007,40.62800033,368.8137151,208.3568266
1977,Phoenix,,33.4467681,-112.0756724,682200,70,316,1594,2315,4295,12,629.5807681,10.26092055,46.32072706,233.6558194,339.3433011
1977,Pittsburgh,,40.4416941,-79.9900861,482413,52,252,2539,1729,4572,12,947.7356539,10.77914567,52.23739825,526.3125165,358.4065935
1977,Portland, Ore.,45.5202471,-122.6741949,385230,41,337,1703,1892,3973,12,1031.331932,10.6429925,87.48020663,442.0735664,491.135166
1977,Raleigh, N.C.,35.7804015,-78.6390779,152840,10,39,120,402,571,12,373.5933002,6.542789846,25.5168804,78.51347815,263.0201518
1977,Sacramento, Calif.,38.5815719,-121.4943996,265220,41,205,1276,1393,2915,12,1099.08755,15.45886434,77.2943217,481.1100219,525.2243421
1977,Salt Lake City,,40.7670126,-111.8904308,180122,12,112,479,461,1064,12,590.7107405,6.662151209,62.18007795,265.9308691,255.9376423
1977,San Antonio,,29.4246002,-98.4951405,764217,146,273,1460,1876,3755,12,491.352587,19.10452136,35.72283789,191.0452136,245.4800142
1977,San Diego,,32.7174209,-117.1627714,788621,50,298,2481,1585,4414,12,559.7111921,6.340181152,37.78747966,314.5997887,200.9837425
1977,San Francisco,,37.7792768,-122.4192704,676625,141,595,5423,3208,9367,12,1384.370959,20.8387216,87.93644929,801.4779235,474.1178644
1977,San Jose,,37.3438502,-121.8831349,568303,41,322,1031,1276,2670,12,469.8197968,7.2144613,56.65991557,181.4173073,224.5281126
1977,Seattle,,47.6038321,-122.3300624,500000,35,370,1764,1987,4156,12,831.2,7,74,352.8,397.4
1977,St. Louis, Mo.,38.6272733,-90.1978889,512059,195,473,4943,4115,9726,12,1899.3905,38.0815492,92.37216805,965.3184496,803.618333
1977,Tampa, Fla.,27.9477595,-82.458444,264848,31,195,1062,1906,3194,12,1205.974748,11.70482692,73.62713707,400.9847158,719.658068
1977,Tucson, Ariz.,32.2217422,-110.9264759,306500,35,116,550,877,1578,12,514.8450245,11.41924959,37.84665579,179.4453507,286.1337684
1977,Tulsa, Okla.,36.1556805,-95.9929113,352674,28,172,489,1161,1850,12,524.5637614,7.939343416,48.77025241,138.6549618,329.1992038
1977,Virginia Beach, Va.,36.7953025,-76.05092502,235324,16,80,152,215,463,12,196.7500127,6.79913651,33.99568255,64.59179684,91.36339685
1977,Washington, D.C.,38.8949549,-77.0366456,690000,192,402,6655,2594,9843,12,1426.521739,27.82608696,58.26086957,964.4927536,375.942029
1977,Wichita, Kan.,37.6922361,-97.3375448,261732,34,121,715,527,1397,12,533.7520823,12.99038711,46.23049532,273.1801996,201.3510003
1978,Albuquerque, N.M.,35.0841034,-106.6509851,291834,37,187,694,1516,2434,12,834.0357875,12.67844048,64.07752352,237.8064242,519.4733993
1978,Arlington, Texas,32.7355816,-97.1071186,121750,6,43,132,269,450,12,369.6098563,4.928131417,35.31827515,108.4188912,220.9445585
1978,Atlanta,,33.7490987,-84.3901849,456000,144,592,4119,3990,8845,12,1939.692982,31.57894737,129.8245614,903.2894737,875
1978,Austin, Texas,30.2711286,-97.7436995,331557,35,194,635,549,1413,12,426.1710656,10.55625428,58.51180943,191.5206133,165.5823885
1978,Baltimore,,39.2908608,-76.6108073,781730,197,554,8097,5811,14659,12,1875.199877,25.2005168,70.86845842,1035.779617,743.351285
1978,Boston,,42.3604823,-71.0595678,616225,72,475,5635,3853,10035,12,1628.463629,11.68404398,77.08223457,914.4387196,625.2586312
1978,Buffalo, N.Y.,42.8864468,-78.8783689,391695,44,221,1721,1195,3181,12,812.1114643,11.23322994,56.42145036,439.3724709,305.084313
1978,Chicago,,41.8755546,-87.6244212,3086699,787,1341,15233,10325,27686,12,896.945248,25.49649318,43.44446932,493.5045497,334.4997358
1978,Cincinnati,,39.1014537,-84.5124602,405324,57,287,1300,1659,3303,12,814.9036326,14.06282382,70.80755149,320.7310695,409.3021879
